3
Insert(-183.92,Value0)
Insert(117.42,Value1)
Insert(395.91,Value2)
Insert(-468.85,Value3)
Insert(229.23,Value4)
Insert(49.98,Value5)
Insert(295.3,Value6)
Insert(465.07,Value7)
Insert(-179.95,Value8)
Insert(-111.27,Value9)
Insert(229.56,Value10)
Insert(-38.39,Value11)
Insert(-311.04,Value12)
Insert(-428.93,Value13)
Insert(-83.07,Value14)
Insert(-287.89,Value15)
Insert(-31.85,Value16)
Insert(83.15,Value17)
Insert(-163.03,Value18)
Insert(-233.46,Value19)
Insert(-283.44,Value20)
Insert(17.97,Value21)
Insert(-453.93,Value22)
Insert(-77.25,Value23)
Insert(-291.82,Value24)
Insert(-463.51,Value25)
Insert(-234.08,Value26)
Insert(-228.12,Value27)
Insert(-132.96,Value28)
Insert(-312.19,Value29)
Insert(-264.45,Value30)
Insert(-222.63,Value31)
Insert(213.67,Value32)
Insert(-236.31,Value33)
Insert(-419.86,Value34)
Insert(-310.32,Value35)
Insert(-179.94,Value36)
Insert(-422.67,Value37)
Insert(496.77,Value38)
Insert(-484.85,Value39)
Insert(-304.26,Value40)
Insert(-466.74,Value41)
Insert(-477.45,Value42)
Insert(134.97,Value43)
Insert(-101.44,Value44)
Insert(-231.54,Value45)
Insert(329.74,Value46)
Insert(-391.22,Value47)
Insert(-51.29,Value48)
Insert(-17.24,Value49)
Insert(-283.02,Value50)
Insert(-70.78,Value51)
Insert(-133.54,Value52)
Insert(180.63,Value53)
Insert(103.52,Value54)
Insert(411.88,Value55)
Insert(216.16,Value56)
Insert(378.75,Value57)
Insert(453.05,Value58)
Insert(49.78,Value59)
Insert(-154.82,Value60)
Insert(30.05,Value61)
Insert(443.43,Value62)
Insert(108.92,Value63)
Insert(-473.67,Value64)
Insert(-9.24,Value65)
Insert(-292.02,Value66)
Insert(-362.42,Value67)
Insert(-143.88,Value68)
Insert(301.74,Value69)
Insert(-369.15,Value70)
Insert(-406.21,Value71)
Insert(451.19,Value72)
Insert(-17.37,Value73)
Insert(273.93,Value74)
Insert(456.77,Value75)
Insert(-324.34,Value76)
Insert(458.55,Value77)
Insert(263.91,Value78)
Insert(-238.26,Value79)
Insert(251.94,Value80)
Insert(28.29,Value81)
Insert(403.97,Value82)
Insert(357.51,Value83)
Insert(332.82,Value84)
Insert(-293.51,Value85)
Insert(32.34,Value86)
Insert(-71.98,Value87)
Insert(-334.28,Value88)
Insert(-396.46,Value89)
Insert(-164.56,Value90)
Insert(119.78,Value91)
Insert(-385.04,Value92)
Insert(216.73,Value93)
Insert(-398.05,Value94)
Insert(-37.21,Value95)
Insert(-6.84,Value96)
Insert(39.87,Value97)
Insert(-388.56,Value98)
Insert(-126.71,Value99)
Insert(-225.56,Value100)
Insert(16.77,Value101)
Insert(-79.24,Value102)
Insert(-18.24,Value103)
Insert(413.55,Value104)
Insert(-188.63,Value105)
Insert(-315.3,Value106)
Insert(156.99,Value107)
Insert(355.68,Value108)
Insert(-86.91,Value109)
Insert(-133.34,Value110)
Insert(225.16,Value111)
Insert(-456.18,Value112)
Insert(390.21,Value113)
Insert(130.26,Value114)
Insert(252.52,Value115)
Insert(-489.85,Value116)
Insert(183.78,Value117)
Insert(191.15,Value118)
Insert(-192.57,Value119)
Insert(-167.43,Value120)
Insert(-34.86,Value121)
Insert(-125.12,Value122)
Insert(265.33,Value123)
Insert(-407.19,Value124)
Insert(122.08,Value125)
Insert(-86.14,Value126)
Insert(386.41,Value127)
Insert(20.38,Value128)
Insert(-377.31,Value129)
Insert(-417.38,Value130)
Insert(129.24,Value131)
Insert(-338.67,Value132)
Insert(-88.37,Value133)
Insert(388.08,Value134)
Insert(353.23,Value135)
Insert(303.49,Value136)
Insert(446.06,Value137)
Insert(402.37,Value138)
Insert(-43.22,Value139)
Insert(-139.31,Value140)
Insert(-130.13,Value141)
Insert(367.59,Value142)
Insert(-249.78,Value143)
Insert(52.62,Value144)
Insert(-275.25,Value145)
Insert(-56.36,Value146)
Insert(33.64,Value147)
Insert(-402.28,Value148)
Insert(-336.35,Value149)
Insert(-351.29,Value150)
Insert(-247.39,Value151)
Insert(219.31,Value152)
Insert(110.14,Value153)
Insert(-321.87,Value154)
Insert(-225.47,Value155)
Insert(228.79,Value156)
Insert(-277.44,Value157)
Insert(-391.36,Value158)
Insert(-4.88,Value159)
Insert(-361.21,Value160)
Insert(-243.48,Value161)
Insert(-214.49,Value162)
Insert(-335.89,Value163)
Insert(-350.04,Value164)
Insert(111.88,Value165)
Insert(-445.52,Value166)
Insert(185.93,Value167)
Insert(-425.62,Value168)
Insert(40.72,Value169)
Insert(-201.59,Value170)
Insert(-457.69,Value171)
Insert(-243.69,Value172)
Insert(492.31,Value173)
Insert(497.08,Value174)
Insert(-56.97,Value175)
Insert(-219.49,Value176)
Insert(164.11,Value177)
Insert(231.55,Value178)
Insert(139.67,Value179)
Insert(281.23,Value180)
Insert(101.15,Value181)
Insert(-301.53,Value182)
Insert(-406.71,Value183)
Insert(-409.87,Value184)
Insert(-27.81,Value185)
Insert(282.09,Value186)
Insert(-417.13,Value187)
Insert(226.49,Value188)
Insert(133.41,Value189)
Insert(293.81,Value190)
Insert(-160.94,Value191)
Insert(-64.12,Value192)
Insert(124.75,Value193)
Insert(202.66,Value194)
Insert(-372.65,Value195)
Insert(-33.78,Value196)
Insert(337.96,Value197)
Insert(-485.76,Value198)
Insert(495.48,Value199)
Insert(-92.51,Value200)
Insert(-270.45,Value201)
Insert(369.89,Value202)
Insert(259.84,Value203)
Insert(-396.67,Value204)
Insert(83.41,Value205)
Insert(69.98,Value206)
Insert(-234.43,Value207)
Insert(-334.25,Value208)
Insert(384.89,Value209)
Insert(446.96,Value210)
Insert(244.27,Value211)
Insert(-309.63,Value212)
Insert(248.23,Value213)
Insert(-370.66,Value214)
Insert(235.32,Value215)
Insert(-62.35,Value216)
Insert(359.53,Value217)
Insert(-257.23,Value218)
Insert(260.62,Value219)
Insert(258.31,Value220)
Insert(-71.81,Value221)
Insert(40.32,Value222)
Insert(-247.71,Value223)
Insert(-469.16,Value224)
Insert(444.89,Value225)
Insert(-98.26,Value226)
Insert(120.45,Value227)
Insert(-61.55,Value228)
Insert(263.94,Value229)
Insert(-172.07,Value230)
Insert(144.9,Value231)
Insert(-223.11,Value232)
Insert(-206.59,Value233)
Insert(-338.02,Value234)
Insert(159.57,Value235)
Insert(-292.31,Value236)
Insert(141.75,Value237)
Insert(-44.15,Value238)
Insert(18.41,Value239)
Insert(-54.19,Value240)
Insert(-205.41,Value241)
Insert(232.84,Value242)
Insert(488.52,Value243)
Insert(344.18,Value244)
Insert(-378.38,Value245)
Insert(-377.56,Value246)
Insert(-279.21,Value247)
Insert(377.98,Value248)
Insert(-375.14,Value249)
Insert(-460.48,Value250)
Insert(312.57,Value251)
Insert(170.73,Value252)
Insert(336.32,Value253)
Insert(-400.08,Value254)
Insert(10.15,Value255)
Insert(212.95,Value256)
Insert(181.24,Value257)
Insert(430.22,Value258)
Insert(-493.42,Value259)
Insert(100.91,Value260)
Insert(-197.92,Value261)
Insert(250.86,Value262)
